COMPANY NAME,CATEGORIES,BANK
AARTI DRUGS LIMITED,CATGB,AXIS BANK
ABB INDIA LIMITED.,CATGA,AXIS BANK
ACER INDIA PRIVATE LIMITED,CATGB,AXIS BANK
ADANI GAS LIMITED,CATGB,AXIS BANK
ADNANI EXPORTS LIMITED,CATGB,AXIS BANK
ADANI INFRA (INDIA) LIMITED,CATGC,AXIS BANK
ADOBE SYSTEMS INDIA PRIVATE LIMITED,CATGB,AXIS BANK
AFL PRIVATE LIMITED,CATGB,AXIS BANK
AGILENT TECHNOLOGIES INDIA PVT LTD,CATGB,AXIS BANK
AHLUWALIA CONTRACTS (INDIA) LIMITED,CATGB,AXIS BANK
FRANCE AIR PRIVATE LIMITED,CATGC,AXIS BANK
AJANTA PHARMA LIMITED,CATGA,AXIS BANK
ABS INDIA PRIVATE LIMITED,CATGB,AXIS BANK
ALEMBIC PHARMACEUTICALS LIMITED,CATGA,AXIS BANK
ALLIANCE CAPITAL ASSET MANAGEMENT INDIA PRIVATE LIMITED,CATGC,AXIS BANK
ALLIANCE INVESTMENT CONSULTANTS PRIVATE LIMITED,CATGB,AXIS BANK
BAJAJ ALLIANZ LIFE INSURANCE COMPANY LIMITED,CATGB,AXIS BANK
ALLIED NIPPON LTD.,CATGB,AXIS BANK
ALSTOM TRANSPORT INDIA LIMITED,CATGB,AXIS BANK
AMDOCS DEVELOPMENT CENTRE INDIA LLP,CATGC,AXIS BANK
AMERICAN EXPRESS(INDIA) PRIVATE LIMITED,SCATA,AXIS BANK
SCHNEIDER ELECTRIC IT BUSINESS INDIA PRIVATE LIMITED,SCATA,AXIS BANK
AMWAY INDIA ENTERPRISES PRIVATE LIMITED,CATGB,AXIS BANK
ANALOG DEVICES INDIA PRIVATE LIMITED,CATGCX,AXIS BANK
ANZ CAPITAL PRIVATE LIMITED,CATGC,AXIS BANK
APOLLO HOSPITALS ENTERPRISE LIMITED,SCATA,AXIS BANK
APPLE INDUSTRIES LIMITED,CATGC,AXIS BANK
APTECH LIMITED,CATGCX,AXIS BANK
